D,DT,NM,OO,OT,weird
0,,Presidential Electors for,1,SW,1
0,,United States Senator,2,SW,201
1,Connecticut 01,Representative in Congress 01,3,C,3
2,Connecticut 02,Representative in Congress 02,4,C,4
3,Connecticut 03,Representative in Congress 03,5,C,5
4,Connecticut 04,Representative in Congress 04,6,C,6
5,Connecticut 05,Representative in Congress 05,7,C,7
1,Connecticut 01,State Senator 01,8,S,8
2,Connecticut 02,State Senator 02,9,S,10
3,Connecticut 03,State Senator 03,10,S,11
4,Connecticut 04,State Senator 04,11,S,12
5,Connecticut 05,State Senator 05,12,S,13
6,Connecticut 06,State Senator 06,13,S,14
7,Connecticut 07,State Senator 07,14,S,15
8,Connecticut 08,State Senator 08,15,S,16
9,Connecticut 09,State Senator 09,16,S,17
10,Connecticut 10,State Senator 10,17,S,18
11,Connecticut 11,State Senator 11,18,S,200
12,Connecticut 12,State Senator 12,19,S,20
13,Connecticut 13,State Senator 13,20,S,21
14,Connecticut 14,State Senator 14,21,S,22
15,Connecticut 15,State Senator 15,22,S,23
16,Connecticut 16,State Senator 16,23,S,24
17,Connecticut 17,State Senator 17,24,S,25
18,Connecticut 18,State Senator 18,25,S,26
19,Connecticut 19,State Senator 19,26,S,27
20,Connecticut 20,State Senator 20,27,S,28
21,Connecticut 21,State Senator 21,28,S,29
22,Connecticut 22,State Senator 22,29,S,30
23,Connecticut 23,State Senator 23,30,S,31
24,Connecticut 24,State Senator 24,31,S,32
25,Connecticut 25,State Senator 25,32,S,33
26,Connecticut 26,State Senator 26,33,S,34
27,Connecticut 27,State Senator 27,34,S,35
28,Connecticut 28,State Senator 28,35,S,36
29,Connecticut 29,State Senator 29,36,S,37
30,Connecticut 30,State Senator 30,37,S,38
31,Connecticut 31,State Senator 31,38,S,39
32,Connecticut 32,State Senator 32,39,S,40
33,Connecticut 33,State Senator 33,40,S,41
34,Connecticut 34,State Senator 34,41,S,42
35,Connecticut 35,State Senator 35,42,S,43
36,Connecticut 36,State Senator 36,43,S,44
1,Connecticut 01,State Representative 01,44,A,45
2,Connecticut 02,State Representative 02,45,A,46
3,Connecticut 03,State Representative 03,46,A,47
4,Connecticut 04,State Representative 04,47,A,48
5,Connecticut 05,State Representative 05,48,A,49
6,Connecticut 06,State Representative 06,49,A,50
7,Connecticut 07,State Representative 07,50,A,51
8,Connecticut 08,State Representative 08,51,A,52
9,Connecticut 09,State Representative 09,52,A,53
10,Connecticut 10,State Representative 10,53,A,55
11,Connecticut 11,State Representative 11,54,A,56
