candId,TO,V,officeId
12,57.68%,920766,201
13,34.62%,552621,201
14,59.77%,187021,3
15,33.77%,105674,3
16,56.38%,186210,4
18,62.15%,192274,5
19,30.96%,95786,5
20,59.90%,187811,6
21,38.48%,120653,6
22,52.90%,163499,7
23,40.41%,124900,7
24,74.81%,20437,8
25,22.15%,6052,8
26,16.06%,5888,10
27,79.97%,29319,10
28,56.18%,23913,11
29,40.55%,17260,11
30,47.22%,22525,12
31,46.38%,22125,12
32,32.99%,10788,14
34,35.74%,16814,15
35,56.88%,26755,15
36,36.70%,17213,17
37,63.30%,29684,17
38,55.48%,29567,20
39,38.33%,20430,20
40,46.32%,19628,25
41,45.15%,19132,25
42,39.28%,16987,26
43,52.97%,22905,26
44,52.08%,21909,27
45,38.62%,16244,27
46,55.14%,24408,28
47,37.12%,16429,28
48,44.90%,17622,32
49,49.68%,19496,32
50,60.14%,26509,33
51,37.73%,16632,33
52,53.01%,25295,38
53,40.89%,19511,38
54,41.36%,22954,41
55,53.70%,29805,41
56,45.97%,19716,83
59,45.72%,19487,21
60,47.66%,20318,21
61,43.97%,20836,22
62,51.52%,24413,22
63,34.52%,16423,24
64,59.09%,28114,24
65,65.15%,30966,29
66,34.85%,16561,29
68,11.60%,2583,31
69,30.91%,11442,35
70,65.24%,24149,35
71,37.81%,20457,36
72,57.28%,30990,36
73,56.63%,25607,39
74,39.93%,18053,39
75,31.28%,15697,40
76,65.93%,33090,40
77,58.98%,28901,44
78,39.37%,19291,44
79,60.19%,34627,34
80,39.81%,22898,34
82,41.24%,16149,30
83,38.79%,20088,13
84,60.11%,30683,16
85,93.73%,24513,18
86,100.00%,28731,200
87,82.17%,20312,23
88,41.32%,16718,37
89,86.46%,30312,42
90,62.38%,31829,43
92,61.41%,1284,284
93,38.59%,807,284
94,37.94%,826,287
95,62.06%,1351,287
96,42.48%,1161,290
97,57.52%,1572,290
98,45.35%,1555,295
99,54.65%,1874,295
100,47.43%,406,301
101,52.57%,450,301
102,49.06%,3480,305
103,50.94%,3614,305
104,63.09%,6302,263
105,36.91%,3687,263
106,46.42%,2141,309
107,53.58%,2471,309
108,49.47%,6815,320
109,50.53%,6961,320
110,86.46%,24961,323
111,9.84%,2840,323
113,57.63%,6051,286
114,20.03%,6992,292
115,73.69%,25719,292
116,49.29%,12022,293
